,Acne_vulgaris,Acute_glomerulonephritis,Acute_hepatitis,Adverse_effects_of_medical_treatment,African_trypanosomiasis,Age-related_and_other_hearing_loss,Alcohol_use_disorders,Alopecia_areata,Alzheimer's_disease_and_other_dementias,Animal_contact,Anxiety_disorders,Aortic_aneurysm,Appendicitis,Asthma,Atrial_fibrillation_and_flutter,Attention-deficit_hyperactivity_disorder,Autism_spectrum_disorders,Bacterial_skin_diseases,Bipolar_disorder,Bladder_cancer,Blindness_and_vision_loss,Brain_and_central_nervous_system_cancer,Breast_cancer,COVID-19,Cardiomyopathy_and_myocarditis,Cervical_cancer,Chagas_disease,Chronic_kidney_disease,Chronic_obstructive_pulmonary_disease,Cirrhosis_and_other_chronic_liver_diseases,Colon_and_rectum_cancer,Conduct_disorder,Conflict_and_terrorism,Congenital_birth_defects,Cystic_echinococcosis,Cysticercosis,Decubitus_ulcer,Dengue,Depressive_disorders,Dermatitis,Diabetes_mellitus,Diarrheal_diseases,Dietary_iron_deficiency,Diphtheria,Drowning,Drug_use_disorders,Eating_disorders,Ebola,Encephalitis,Endocarditis,"Endocrine,_metabolic,_blood,_and_immune_disorders",Environmental_heat_and_cold_exposure,Esophageal_cancer,Exposure_to_forces_of_nature,Exposure_to_mechanical_forces,Eye_cancer,Falls,"Fire,_heat,_and_hot_substances",Food-borne_trematodiases,Foreign_body,Fungal_skin_diseases,Gallbladder_and_biliary_diseases,Gallbladder_and_biliary_tract_cancer,Gout,Guinea_worm_disease,Gynecological_diseases,HIV_AIDS,Headache_disorders,Hemoglobinopathies_and_hemolytic_anemias,Hodgkin_lymphoma,Hypertensive_heart_disease,Idiopathic_developmental_intellectual_disability,Idiopathic_epilepsy,Inflammatory_bowel_disease,"Inguinal,_femoral,_and_abdominal_hernia",Interpersonal_violence,Intestinal_nematode_infections,Invasive_Non-typhoidal_Salmonella_(iNTS),Iodine_deficiency,Ischemic_heart_disease,Kidney_cancer,Larynx_cancer,Leishmaniasis,Leprosy,Leukemia,Lip_and_oral_cavity_cancer,Liver_cancer,Low_back_pain,Lower_extremity_peripheral_arterial_disease,Lower_respiratory_infections,Lymphatic_filariasis,Malaria,Malignant_neoplasm_of_bone_and_articular_cartilage,Malignant_skin_melanoma,Maternal_disorders,Measles,Meningitis,Mesothelioma,Motor_neuron_disease,Multiple_myeloma,Multiple_sclerosis,Nasopharynx_cancer,Neck_pain,Neonatal_disorders,Neuroblastoma_and_other_peripheral_nervous_cell_tumors,Non-Hodgkin_lymphoma,Non-melanoma_skin_cancer,Non-rheumatic_valvular_heart_disease,Onchocerciasis,Oral_disorders,Osteoarthritis,Other_cardiovascular_and_circulatory_diseases,Other_chronic_respiratory_diseases,Other_digestive_diseases,Other_intestinal_infectious_diseases,Other_malignant_neoplasms,Other_mental_disorders,Other_musculoskeletal_disorders,Other_neglected_tropical_diseases,Other_neoplasms,Other_neurological_disorders,Other_nutritional_deficiencies,Other_pharynx_cancer,Other_sense_organ_diseases,Other_skin_and_subcutaneous_diseases,Other_transport_injuries,Other_unintentional_injuries,Other_unspecified_infectious_diseases,Otitis_media,Ovarian_cancer,Pancreatic_cancer,Pancreatitis,Paralytic_ileus_and_intestinal_obstruction,Parkinson's_disease,Pertussis,Pneumoconiosis,Poisonings,Police_conflict_and_executions,Prostate_cancer,Protein-energy_malnutrition,Pruritus,Psoriasis,Pulmonary_Arterial_Hypertension,Rabies,Rheumatic_heart_disease,Rheumatoid_arthritis,Road_injuries,Scabies,Schistosomiasis,Schizophrenia,Self-harm,Sexually_transmitted_infections_excluding_HIV,Soft_tissue_and_other_extraosseous_sarcomas,Stomach_cancer,Stroke,Sudden_infant_death_syndrome,Testicular_cancer,Tetanus,Thyroid_cancer,Tracheal,"Tracheal,_bronchus,_and_lung_cancer",Trachoma,Tuberculosis,Typhoid_and_paratyphoid,Upper_digestive_system_diseases,Upper_respiratory_infections,Urinary_diseases_and_male_infertility,Urticaria,Uterine_cancer,Varicella_and_herpes_zoster,Vascular_intestinal_disorders,Viral_skin_diseases,Vitamin_A_deficiency,Yellow_fever,Zika_virus
Sexually_transmitted_infections_excluding_HIV,0.9983515,0.99771595,0.99913913,0.99877965,0.99716735,0.9982073,0.99860716,0.99814457,0.99826604,0.99779,0.9980355,0.9970308,0.9975181,0.99881023,0.99787766,0.99782765,0.9981216,0.99842846,0.998274,0.9982577,0.9983457,0.9980632,0.998663,0.9987535,0.9979527,0.99901104,0.9975641,0.99856097,0.9986066,0.99857473,0.9984747,0.99695873,0.99762565,0.9979971,0.99696183,0.9975454,0.99846894,0.9982761,0.99876475,0.99856794,0.99884593,0.999028,0.99885154,0.9988355,0.99825317,0.9988983,0.9985894,0.99791163,0.99842435,0.9975562,0.99883336,0.9982539,0.99783796,0.9974169,0.9979175,0.9975356,0.9984753,0.99838483,0.997958,0.9969139,0.9973158,0.9979575,0.9976033,0.9984931,0.99744326,0.99880445,0.9998851,0.99855006,0.9987301,0.9983414,0.9986809,0.99833685,0.9980987,0.9985902,0.99705,0.99822587,0.9979507,0.99796647,0.9982027,0.99814844,0.9978824,0.99785477,0.9977295,0.9983222,0.99823874,0.99815977,0.9979671,0.99818456,0.99859023,0.99928814,0.9979053,0.9985569,0.9977966,0.9982793,0.99894303,0.99902785,0.9985942,0.9981345,0.99814236,0.99813396,0.9986117,0.99821603,0.9979551,0.998877,0.997768,0.9979739,0.99812675,0.9973686,0.99773186,0.998539,0.9980374,0.9986158,0.9988644,0.9986877,0.9989408,0.99817973,0.9987673,0.9984886,0.9985639,0.997806,0.9987105,0.99888784,0.99821275,0.9983959,0.9988708,0.9971182,0.9978946,0.9999103,0.99833035,0.9983037,0.9980169,0.99812484,0.996996,0.9979525,0.9986803,0.9983256,0.9985332,0.99766016,0.99857605,0.99858284,0.99848384,0.99853724,0.9982916,0.99833745,0.99838585,0.9986321,0.99815524,0.99793917,0.9983472,0.9982808,0.9984741,1.0000001,0.9977392,0.9976913,0.9986181,0.998526,0.9979567,0.9989675,0.9980032,0.99608815,0.9982977,0.9987037,0.9989729,0.9981738,0.99858445,0.99928683,0.9986583,0.998222,0.99872625,0.99894524,0.99748546,0.9988178,0.9987244,0.9979368,0.9977026
Soft_tissue_and_other_extraosseous_sarcomas,0.99819344,0.9982225,0.9979502,0.9987529,0.9963303,0.9979883,0.99697316,0.998248,0.9977904,0.99745476,0.99668074,0.9980495,0.99822474,0.9978925,0.9975762,0.99658126,0.9973899,0.9984254,0.9972941,0.99920803,0.99818325,0.9993601,0.99915755,0.99715155,0.9984497,0.99874455,0.9969748,0.9979841,0.9977378,0.9985061,0.99918026,0.9951595,0.9962562,0.9988136,0.99784046,0.99756354,0.997896,0.9970719,0.9975195,0.99838585,0.9981808,0.9984747,0.998133,0.9974562,0.99722725,0.9971125,0.9978376,0.99632275,0.99829614,0.9981215,0.9988975,0.99760175,0.9989417,0.9963177,0.9981845,0.99944276,0.99695176,0.99825233,0.99721086,0.9980772,0.99752396,0.99884135,0.9991145,0.99831253,0.99647593,0.9991649,0.99801296,0.9984742,0.9982707,0.99915993,0.99824727,0.9980686,0.9980822,0.99850166,0.9977941,0.9961741,0.9970719,0.9970959,0.99693096,0.99776727,0.999546,0.99915713,0.99704653,0.99766666,0.99901295,0.9994685,0.9990214,0.99769217,0.9984647,0.9982367,0.99630725,0.9970586,0.99979734,0.999315,0.9980308,0.997348,0.99847233,0.99951434,0.9981365,0.99899215,0.9981655,0.999057,0.9979431,0.99841917,0.9988713,0.9992077,0.9993792,0.99779904,0.9960658,0.9987706,0.9980553,0.99860734,0.9981868,0.99921733,0.99854237,0.999735,0.9976298,0.9990068,0.9975364,0.99954015,0.9987397,0.9979167,0.99916434,0.997972,0.99937683,0.995769,0.99786687,0.99807453,0.9981582,0.99931777,0.9992812,0.99875337,0.99826896,0.99775296,0.9975798,0.99843407,0.9982575,0.9953864,0.99898964,0.99765563,0.9984094,0.9983113,0.9983012,0.99728465,0.99807036,0.99849313,0.9969342,0.99720776,0.9973668,0.99743307,0.99672884,0.9977392,0.9999994,0.99878174,0.9982052,0.99764943,0.9994125,0.9974928,0.9992102,0.99863535,0.99929327,0.9965288,0.99820954,0.9971692,0.9991933,0.9982611,0.9989328,0.9981334,0.99908984,0.9982652,0.99826086,0.9985583,0.9974677,0.99665815,0.9965128
Stomach_cancer,0.99759996,0.99803936,0.9983884,0.9983382,0.9954392,0.99746615,0.9970697,0.99766064,0.9977133,0.99625224,0.996744,0.99748707,0.997645,0.99809337,0.99789625,0.99649215,0.99684966,0.99736714,0.99727833,0.99935627,0.99764526,0.9988474,0.99915785,0.99683124,0.99815917,0.9991343,0.9962803,0.9982969,0.99818546,0.99884546,0.9996004,0.99514425,0.99521846,0.9978252,0.9967133,0.99653876,0.9976804,0.9965043,0.9977,0.9979876,0.99859095,0.99847865,0.9981059,0.9971972,0.9968433,0.99703544,0.99758315,0.995399,0.9974868,0.99701357,0.9989322,0.99768883,0.99974626,0.9960538,0.99759156,0.9981422,0.99706036,0.9978211,0.9970116,0.9967251,0.9962103,0.9990652,0.9996149,0.9982408,0.9956932,0.99918854,0.9977371,0.99796927,0.99758434,0.9984577,0.99847084,0.99732745,0.9976935,0.9987224,0.99710846,0.99572116,0.99658364,0.9966782,0.99717265,0.9984825,0.9991153,0.999044,0.99625874,0.9967017,0.998539,0.99922657,0.99956673,0.99746656,0.9983692,0.9980827,0.9957147,0.99658877,0.99868196,0.9987056,0.9980414,0.99699706,0.99762625,0.9986235,0.9976178,0.99844027,0.9977978,0.9994041,0.99743456,0.9981482,0.9983657,0.99847144,0.9994974,0.9974618,0.9954667,0.99849874,0.9979999,0.9985779,0.99836147,0.99944234,0.9986335,0.9992566,0.99744445,0.9983705,0.99693984,0.99855185,0.9983247,0.9981173,0.9994143,0.99764127,0.9988486,0.9949428,0.9968175,0.99801874,0.9976422,0.9993148,0.99945855,0.99874824,0.99756384,0.99766606,0.99753416,0.9980376,0.99789715,0.99472463,0.99892277,0.99773985,0.9980942,0.9980603,0.9980532,0.9965541,0.9977025,0.998516,0.99651945,0.9962026,0.9972198,0.9973104,0.9967214,0.9976913,0.99878174,0.99999994,0.99840164,0.997131,0.998346,0.99726105,0.9990205,0.99727356,0.9994794,0.9964025,0.9976797,0.9965303,0.99946165,0.99809396,0.9988569,0.9975216,0.9993093,0.9977133,0.99844825,0.99784696,0.9975942,0.99587125,0.995718
Stroke,0.99842346,0.99838656,0.9987033,0.99926716,0.9962768,0.99886066,0.99853265,0.9982619,0.99890274,0.99776804,0.9981805,0.9986129,0.9981716,0.99901044,0.9993782,0.9980374,0.9982781,0.99815977,0.99864465,0.9987014,0.99904704,0.9988094,0.9988841,0.998174,0.99916816,0.9986544,0.99712765,0.9993279,0.99921477,0.9991694,0.99889743,0.9967302,0.9971931,0.9988158,0.99708545,0.99734205,0.9991122,0.9974822,0.9990552,0.99862194,0.99948835,0.99884164,0.9989555,0.99808896,0.99848104,0.9985538,0.998642,0.9966908,0.998421,0.9982588,0.9994531,0.9990733,0.9986045,0.99732697,0.99900997,0.99810284,0.9989352,0.99900776,0.9973191,0.9976881,0.9969195,0.9988817,0.9984408,0.9990213,0.9966912,0.99894416,0.99878764,0.9993504,0.99877656,0.9982279,0.99964964,0.9984938,0.9991045,0.9988712,0.9979021,0.997457,0.99715286,0.99718565,0.9980347,0.9995569,0.99854386,0.9984929,0.9968863,0.9977304,0.9982536,0.9984959,0.9986987,0.99888414,0.99964833,0.9989985,0.996675,0.9976453,0.99849206,0.9984508,0.999081,0.9980506,0.99861383,0.99835396,0.99866587,0.9982333,0.99907917,0.9987021,0.998852,0.99925506,0.9982268,0.9978849,0.9985139,0.998902,0.9964702,0.99888957,0.9990141,0.99981374,0.9993186,0.99923146,0.99882334,0.9986491,0.9989385,0.9992218,0.99781007,0.99839854,0.9995759,0.9990248,0.9986043,0.99914855,0.99906677,0.9970452,0.9983834,0.99884456,0.9986129,0.99853283,0.9986,0.99905217,0.9979138,0.9987443,0.9983035,0.9985655,0.9988158,0.99669516,0.99884397,0.9988435,0.9988468,0.99862415,0.9990581,0.9975712,0.99906206,0.9990204,0.99835235,0.9972552,0.9975613,0.99866474,0.9981845,0.9986181,0.9982052,0.99840164,0.9999998,0.9987225,0.9982088,0.9983764,0.99855727,0.99695307,0.9987636,0.9975691,0.9983114,0.99730754,0.999151,0.9990061,0.9993924,0.99848396,0.998744,0.99859923,0.9989645,0.9982451,0.99842626,0.99693805,0.99677604
Sudden_infant_death_syndrome,0.99817055,0.9974201,0.9978684,0.9989303,0.99686635,0.99878347,0.99835217,0.99796027,0.9983519,0.9984246,0.9979102,0.99743265,0.9978569,0.9987792,0.99779534,0.99802697,0.9985908,0.99817693,0.99823534,0.99767035,0.99865454,0.99802184,0.9982806,0.9986024,0.99827373,0.9981078,0.9972632,0.99809057,0.99839324,0.9980544,0.99799085,0.997006,0.99838763,0.99885446,0.9972549,0.99764407,0.99872035,0.99779403,0.9986595,0.99855936,0.99854785,0.9987014,0.9986782,0.9983957,0.9992521,0.99861246,0.99860275,0.9975819,0.9984101,0.9977366,0.9987001,0.9989192,0.9973534,0.9979343,0.9984114,0.997707,0.99838495,0.998868,0.9976415,0.9978671,0.99705297,0.99795455,0.9971426,0.9981781,0.9976003,0.9983651,0.9987669,0.99882793,0.99885184,0.99767005,0.99863493,0.9989097,0.99868435,0.9981939,0.99753326,0.99828106,0.997619,0.9978173,0.99817127,0.9978683,0.9975403,0.99767554,0.99711996,0.9981225,0.99780095,0.9978444,0.99738985,0.99815726,0.9984673,0.9989953,0.99712795,0.99806315,0.99780566,0.99797606,0.99916345,0.99862105,0.9985985,0.9981044,0.9985698,0.9974438,0.99835265,0.99779636,0.99822426,0.999471,0.9978915,0.99727523,0.99752533,0.99751323,0.9969629,0.99845356,0.9976812,0.99875915,0.99870574,0.9984535,0.99853295,0.99804056,0.9988747,0.9985779,0.99826217,0.99792916,0.9990998,0.9986844,0.99755317,0.9988397,0.99868745,0.9981829,0.9989617,0.9987138,0.9985174,0.99784744,0.9976262,0.9982954,0.9977061,0.99814516,0.99836427,0.9986749,0.9989615,0.9979114,0.9978876,0.9985615,0.9983478,0.9978744,0.99857825,0.9982519,0.9983358,0.9980327,0.9986953,0.9979752,0.9979033,0.99830604,0.99858296,0.998526,0.99764943,0.997131,0.9987225,0.9999998,0.9979707,0.99858505,0.9977517,0.9967574,0.9978345,0.99793875,0.9983625,0.9979132,0.9984333,0.99900156,0.9984693,0.9983617,0.99805766,0.9985557,0.99790484,0.998236,0.9985374,0.99764043,0.9973677
Testicular_cancer,0.9981182,0.99803936,0.99795055,0.9986747,0.99626493,0.9981099,0.9971364,0.9981844,0.9975502,0.9975827,0.99680954,0.9979719,0.99845856,0.9978712,0.99759865,0.99671394,0.99733967,0.9982148,0.9972935,0.9990595,0.99821115,0.9989095,0.9989024,0.99717355,0.9981652,0.9987504,0.99691194,0.9979928,0.99772704,0.99840254,0.9989273,0.99548966,0.9965735,0.9988696,0.9979138,0.9976402,0.9979626,0.99690723,0.9975959,0.99826264,0.9982212,0.99845445,0.9981331,0.99762344,0.99759084,0.9972938,0.9979518,0.9961088,0.9980843,0.9980203,0.9988941,0.997701,0.99861693,0.99620754,0.997915,0.9991682,0.9970548,0.9981874,0.9972015,0.9979605,0.99735785,0.99883485,0.9987757,0.9981789,0.99648535,0.99925953,0.9980758,0.99853796,0.99833894,0.9990605,0.9983151,0.99813575,0.99808735,0.99836105,0.9982473,0.9965005,0.99711275,0.99700606,0.9973857,0.99767077,0.9992653,0.9990446,0.9968526,0.99768764,0.9985609,0.9990434,0.9985352,0.9976402,0.99841255,0.99821734,0.9963609,0.9970785,0.9993057,0.9988687,0.99835604,0.9974953,0.99844235,0.99921274,0.9978867,0.99850214,0.99806964,0.99854696,0.9978967,0.99858576,0.99830174,0.9989028,0.9990252,0.9977114,0.9962522,0.99855185,0.99783057,0.9985649,0.9981203,0.9990739,0.998578,0.99933577,0.9977227,0.9988136,0.997444,0.9993818,0.9986717,0.99795336,0.9988939,0.9980786,0.9991761,0.99610555,0.998108,0.99819815,0.9983097,0.99912465,0.9988841,0.9987238,0.9983978,0.9974833,0.99757075,0.9982167,0.998193,0.99588996,0.99898374,0.9977709,0.9982978,0.99804306,0.99809194,0.9971953,0.99814916,0.9982244,0.9972198,0.99726737,0.9973577,0.9973435,0.9970394,0.9979567,0.9994125,0.998346,0.9982088,0.9979707,1.0000001,0.9977095,0.9991276,0.9983693,0.998879,0.9969088,0.99806815,0.99717194,0.99907345,0.9982424,0.9989514,0.99808013,0.9990937,0.99820787,0.9980783,0.99839115,0.9975427,0.99658906,0.9962682
Tetanus,0.99823046,0.99768966,0.9986206,0.9987581,0.99735904,0.99818486,0.9977916,0.99799097,0.998025,0.99824566,0.9973649,0.996889,0.9974012,0.9987345,0.9975771,0.9972997,0.9977831,0.9983535,0.9976505,0.997828,0.9981896,0.9979711,0.9983416,0.9985998,0.9978571,0.99840665,0.9977751,0.99805593,0.99820805,0.9981703,0.9981577,0.9960417,0.997569,0.9980024,0.9972353,0.9977427,0.9981974,0.99849755,0.99821985,0.9986482,0.9984982,0.99911433,0.9988088,0.999894,0.99823475,0.99808097,0.9980703,0.9979767,0.99860835,0.99739826,0.99861765,0.99850523,0.9973692,0.99743104,0.99805766,0.9973821,0.99792236,0.9985423,0.9980709,0.9971432,0.9971744,0.99775964,0.9971824,0.9982248,0.99781775,0.99832463,0.9991208,0.99851495,0.9986933,0.9979657,0.998352,0.99808776,0.9981116,0.99836,0.99702424,0.9973535,0.9981425,0.99848753,0.9984565,0.9976709,0.99751115,0.99758005,0.9977332,0.99831253,0.9980922,0.997766,0.997662,0.99782676,0.99835396,0.999226,0.9978921,0.99868375,0.99758893,0.9982373,0.99867386,0.99955773,0.9987398,0.99801165,0.9980798,0.9978998,0.99847645,0.9979516,0.99776715,0.9990367,0.99799544,0.9976222,0.9976152,0.99710035,0.99764186,0.9983359,0.9978015,0.99840415,0.9985325,0.998487,0.9987243,0.99793845,0.9982277,0.9983718,0.9985533,0.99758476,0.99864906,0.99875706,0.9977059,0.9983471,0.99867016,0.9970991,0.99796045,0.9991604,0.99847996,0.9979144,0.99773306,0.9980401,0.99692065,0.99778277,0.99960285,0.9982777,0.99883145,0.99684954,0.998137,0.99853593,0.9984908,0.9982788,0.9983126,0.9988633,0.99814874,0.9984502,0.9979345,0.998078,0.99835426,0.99779785,0.9976388,0.9989675,0.9974928,0.99726105,0.9983764,0.99858505,0.9977095,1.0000001,0.9978372,0.9961278,0.99796736,0.9984838,0.9987832,0.9986916,0.99837977,0.9992301,0.9983842,0.99845695,0.9981245,0.9991364,0.99751425,0.99861914,0.9988515,0.99846184,0.99781036
Thyroid_cancer,0.99823827,0.99819684,0.9984188,0.99877626,0.9959057,0.99827045,0.9973026,0.9982601,0.9978126,0.9971505,0.9970338,0.9978229,0.99826103,0.99821454,0.99818593,0.99681723,0.9973478,0.99800634,0.9975596,0.99931675,0.99820566,0.99908006,0.9992711,0.99743575,0.9983726,0.99908566,0.99679214,0.998445,0.9982222,0.9988312,0.999267,0.99540275,0.99628294,0.9985697,0.9974895,0.99729496,0.9980949,0.9970004,0.99784404,0.9983539,0.9986191,0.99851096,0.99840325,0.9977424,0.9973577,0.99735624,0.9979322,0.99611634,0.9979591,0.9977123,0.9991616,0.99796486,0.99916714,0.99641126,0.9980963,0.99894065,0.99738055,0.99827063,0.99710757,0.99762565,0.99695426,0.9991419,0.99929476,0.998433,0.996217,0.99932843,0.99811983,0.9985903,0.998245,0.99889255,0.998638,0.9979303,0.9981833,0.9985083,0.9977146,0.99628615,0.99693155,0.99700004,0.9979884,0.9982965,0.9994136,0.9993501,0.9966765,0.9975602,0.99856585,0.99940956,0.9991541,0.9979135,0.9986854,0.9984586,0.9962841,0.9969621,0.9992281,0.9990345,0.9984047,0.9975696,0.9982313,0.99910283,0.99791646,0.99856615,0.99817026,0.9991132,0.99816823,0.9985441,0.99841934,0.9987664,0.9994126,0.9978814,0.9960062,0.99883,0.9982295,0.99880683,0.9984895,0.9993254,0.99858,0.99952286,0.9978064,0.99890023,0.9974021,0.99946445,0.9987547,0.99829704,0.999383,0.9982647,0.9992711,0.9959627,0.99772537,0.9983293,0.9983944,0.9992543,0.9993365,0.9989717,0.99784946,0.99776864,0.9978134,0.9984496,0.9981937,0.99549073,0.9991421,0.9979059,0.9984702,0.9982838,0.9982889,0.9972498,0.99821264,0.9986041,0.9971626,0.9969735,0.9972814,0.9975504,0.99696004,0.9980032,0.9992102,0.9990205,0.99855727,0.9977517,0.9991276,0.9978372,0.99999994,0.9980742,0.999296,0.996914,0.99820423,0.9971166,0.99926275,0.9984764,0.99909776,0.9981768,0.99933684,0.9982737,0.9981768,0.99824727,0.99774396,0.9965225,0.9963724
Tracheal,0.99698776,0.99658036,0.9962583,0.9977577,0.99465907,0.99717915,0.99540675,0.9969617,0.9959431,0.99695426,0.99515915,0.99786,0.9978216,0.9967139,0.99646753,0.9949014,0.9958379,0.99745935,0.99560076,0.9976532,0.9972334,0.9977115,0.99732107,0.99604464,0.997069,0.9972629,0.9953706,0.9963046,0.9966855,0.9969805,0.9974978,0.9934997,0.99561304,0.99824756,0.99764615,0.996901,0.99728113,0.9953947,0.996003,0.99721324,0.996479,0.99720955,0.9965765,0.996053,0.9966513,0.995632,0.9965124,0.99491304,0.9970617,0.99791974,0.9973467,0.9965702,0.99781126,0.99522614,0.9972344,0.99872196,0.9956541,0.997397,0.9959105,0.9986137,0.99682367,0.9981128,0.9978666,0.9966601,0.995402,0.9977413,0.9963888,0.99767435,0.99688095,0.99761456,0.99687445,0.9966379,0.9967055,0.99694926,0.9976748,0.99494416,0.99584407,0.99573505,0.9956589,0.9962726,0.9980464,0.9985885,0.9954892,0.9966082,0.99694014,0.9981707,0.99726355,0.99662143,0.9972793,0.9972307,0.99471664,0.9953432,0.99886733,0.99749726,0.9968046,0.99610573,0.9976584,0.9982851,0.9965268,0.99702704,0.9963618,0.9973678,0.9974801,0.9972952,0.99669427,0.997606,0.99793905,0.99727094,0.99454993,0.99774104,0.99660665,0.99748164,0.99709874,0.9980402,0.9974484,0.99827355,0.99620163,0.99798644,0.99595416,0.99870175,0.9976045,0.9962255,0.99797934,0.997025,0.9980197,0.99531263,0.99777925,0.9965174,0.99767816,0.9974153,0.99764585,0.99792963,0.9984971,0.99595284,0.9958737,0.9975765,0.99706167,0.9943831,0.99712956,0.99618965,0.99731654,0.99655354,0.99697506,0.9960518,0.99726427,0.99670774,0.99636835,0.99628884,0.9959501,0.99571097,0.9955082,0.99608815,0.99863535,0.99727356,0.99695307,0.9967574,0.9983693,0.9961278,0.9980742,0.99999964,0.9978546,0.9953989,0.99707663,0.99597466,0.99813384,0.99726623,0.99757063,0.99717855,0.99765646,0.9971986,0.9972616,0.9973696,0.99580705,0.99506694,0.9948316
"Tracheal,_bronchus,_and_lung_cancer",0.99822354,0.9983592,0.99863076,0.9989295,0.99635804,0.99813795,0.9976994,0.99823326,0.99837047,0.9970401,0.9972851,0.99777395,0.9977658,0.99872077,0.9982064,0.997128,0.9976437,0.99804085,0.99787956,0.9996265,0.9982152,0.9994236,0.99961793,0.9976739,0.99860317,0.99931735,0.99696606,0.99866414,0.9988173,0.9990289,0.9997109,0.99571884,0.9962848,0.99832666,0.9971998,0.9970669,0.9981181,0.9972762,0.99816376,0.99856365,0.9988105,0.9987823,0.99845064,0.9979662,0.9974484,0.99778146,0.99808055,0.99658036,0.998176,0.99758244,0.9992035,0.9981273,0.99955815,0.9967351,0.9981605,0.99867326,0.997573,0.9983746,0.99729246,0.9973065,0.99691343,0.99898666,0.99941194,0.9986916,0.9964812,0.9993516,0.9984804,0.99847186,0.99827737,0.9991092,0.9987732,0.99801695,0.99822885,0.9988924,0.99724895,0.99649096,0.9969795,0.99714184,0.9974823,0.9986055,0.99955493,0.9992281,0.99698675,0.9974621,0.99920356,0.999417,0.99961066,0.9979458,0.9987665,0.99873024,0.996409,0.9973331,0.9991653,0.9994229,0.9983536,0.99774766,0.9982407,0.999403,0.99840295,0.9991525,0.99854875,0.99959314,0.99786896,0.99864095,0.9990437,0.9990204,0.99964994,0.99785876,0.9961251,0.998746,0.9983215,0.9989408,0.9990086,0.9995084,0.9986716,0.9996166,0.9981031,0.9988016,0.9977281,0.9989222,0.99887335,0.9984422,0.9995345,0.99824244,0.9993874,0.9959842,0.99749607,0.9985923,0.9981192,0.9996362,0.99966127,0.9988486,0.9976445,0.99825937,0.9982174,0.99877906,0.9985186,0.995615,0.9994769,0.998057,0.99861157,0.99866337,0.9987768,0.9973777,0.99810374,0.998902,0.9972539,0.9968796,0.99759734,0.99797946,0.99726164,0.9982977,0.99929327,0.9994794,0.9987636,0.9978345,0.998879,0.99796736,0.999296,0.9978546,1.000001,0.9968881,0.9984411,0.99713045,0.9994413,0.9987364,0.99919283,0.99817896,0.99941134,0.998312,0.99843276,0.9984237,0.9979687,0.9967978,0.9966689
Trachoma,0.99788696,0.99655956,0.99779934,0.99788094,0.9975014,0.99765074,0.99711215,0.99758077,0.99706715,0.9978278,0.9967109,0.9961542,0.99696034,0.99790967,0.99669033,0.99661934,0.99712294,0.99802494,0.9968926,0.9970524,0.998173,0.9968954,0.99740493,0.9981732,0.9968002,0.99796534,0.99727315,0.997234,0.99752295,0.9973018,0.9971869,0.99556136,0.99734825,0.99746686,0.99725443,0.99796987,0.9979514,0.9981026,0.99750924,0.9979378,0.9977681,0.99839544,0.99806404,0.99836916,0.9981672,0.9974728,0.9973445,0.9976017,0.99762255,0.9968812,0.9977399,0.9976291,0.9965024,0.9975394,0.99722534,0.99702424,0.99755573,0.9979472,0.99837166,0.99668616,0.997187,0.9970805,0.99640954,0.9976091,0.99818784,0.99768186,0.9986712,0.9978157,0.99796957,0.99691176,0.9975971,0.99750775,0.99725926,0.9975612,0.99670917,0.99728125,0.99836504,0.99792284,0.9980722,0.99688,0.99653786,0.99682355,0.9977261,0.99853134,0.9967531,0.9971961,0.9965421,0.997418,0.9977445,0.99856305,0.998778,0.9987763,0.99677354,0.9971313,0.99805474,0.99879104,0.9980388,0.9970549,0.99719113,0.99652034,0.9974137,0.9969752,0.9973008,0.99817336,0.9965301,0.9965142,0.99682915,0.9964537,0.99869514,0.9980097,0.9972127,0.9975577,0.99778724,0.9976273,0.9983063,0.99701625,0.9975816,0.9977327,0.9987306,0.9969828,0.99783516,0.99801296,0.9969102,0.99784654,0.9979719,0.996982,0.9976048,0.9987822,0.99807626,0.99692464,0.99659944,0.9971435,0.99639904,0.9968437,0.99796945,0.99766713,0.99792457,0.9971616,0.9971334,0.9977795,0.99774456,0.99764055,0.9973493,0.99823374,0.998042,0.99752015,0.9979813,0.9984443,0.9986564,0.9970319,0.99732065,0.9987037,0.9965288,0.9964025,0.9975691,0.99793875,0.9969088,0.9984838,0.996914,0.9953989,0.9968881,0.99999994,0.99861676,0.9983959,0.9975882,0.99856937,0.9975598,0.9974185,0.99755776,0.9981643,0.99634963,0.99800265,0.9984091,0.99784946,0.99727994
