MeSH Terms,All of Us,Estonian Biobank,FinnGen,Million Veteran Program,UK Biobank
interdisciplinary communication,1,0,0,1,0
interdisciplinary studies,1,0,0,1,1
interferon regulatory factor-2,0,0,0,1,0
interferon type i,0,0,0,4,0
interferon-alpha,0,0,0,2,0
interferon-gamma,0,0,4,3,2
"interferon-induced helicase, ifih1",0,0,0,0,1
interferons,0,0,0,1,1
interinstitutional relations,2,0,0,0,0
interior design and furnishings,1,0,0,0,0
interleukin 1 receptor antagonist protein,0,0,1,0,2
interleukin-1,0,0,0,1,1
interleukin-1 receptor-associated kinases,0,0,0,1,0
interleukin-10,0,0,3,1,3
interleukin-10 receptor beta subunit,0,0,0,1,0
interleukin-11,0,0,0,0,1
interleukin-12,0,0,1,0,1
interleukin-12 subunit p40,0,0,1,0,0
interleukin-13,0,0,2,0,2
interleukin-16,0,0,2,0,1
interleukin-17,0,0,2,1,4
interleukin-18,0,0,5,0,3
interleukin-18 receptor beta subunit,0,0,0,0,1
interleukin-1beta,0,0,1,1,3
interleukin-2,1,0,0,0,1
interleukin-27,0,0,0,0,1
interleukin-33,0,0,0,0,1
interleukin-4,0,0,0,1,0
interleukin-6,1,0,5,2,24
interleukin-7,0,0,0,0,1
interleukin-8,0,0,1,1,1
interleukins,0,0,4,0,2
intermediate filament proteins,0,0,0,1,1
intermediate filaments,0,0,0,0,1
intermittent fasting,0,0,0,0,1
internal mammary-coronary artery anastomosis,0,0,0,1,0
internal medicine,5,0,0,0,0
international agencies,2,0,0,0,0
international classification of diseases,0,2,0,2,7
international cooperation,8,0,0,7,2
international normalized ratio,0,0,0,1,0
internationality,4,0,0,0,4
internet,6,0,0,3,8
internet-based intervention,0,0,0,4,0
interneurons,0,0,0,0,1
internship and residency,4,0,0,0,0
interoception,0,0,0,0,1
interpersonal relations,7,0,0,0,3
interprofessional relations,12,0,0,0,0
intervertebral disc degeneration,0,0,13,0,4
intervertebral disc displacement,0,0,3,0,2
"interview, psychological",0,0,0,1,0
interviews as topic,6,0,0,2,1
intestinal diseases,0,0,0,1,0
intestinal mucosa,0,0,0,3,0
intestinal neoplasms,0,0,1,0,1
intestinal polyposis,0,0,0,1,0
intestines,0,0,1,1,1
intimate partner violence,0,0,0,0,1
intra-abdominal fat,0,0,3,1,35
intracellular signaling peptides and proteins,0,0,0,4,9
intracranial aneurysm,0,0,6,4,4
intracranial arteriosclerosis,0,0,1,0,1
intracranial arteriovenous malformations,1,0,0,0,1
intracranial embolism,0,0,0,0,1
intracranial hypertension,0,0,0,1,0
intracranial pressure,0,0,0,2,0
intracranial thrombosis,0,0,0,0,1
intraocular pressure,8,0,8,2,43
intraoperative care,0,0,0,2,0
intraoperative complications,0,0,0,3,0
intraoperative period,0,0,0,1,0
introns,0,0,1,3,7
inventions,0,0,0,0,1
investments,0,0,0,1,0
iodide peroxidase,0,0,1,0,1
iodine,0,0,1,0,0
iodothyronine deiodinase type ii,0,0,0,0,1
ion channel gating,0,0,0,1,0
ion channels,1,0,2,1,5
iowa,1,0,0,0,0
iran,1,0,0,0,1
"iraq war, 2003-2011",0,0,0,4,0
ireland,1,0,0,1,4
iridium radioisotopes,0,0,0,1,0
iridocyclitis,0,0,2,0,1
irinotecan,0,0,0,1,0
iritis,0,0,0,0,1
iron,1,0,10,1,41
iron deficiencies,0,0,0,0,1
iron overload,0,0,1,0,3
"iron, dietary",0,0,0,0,5
iron-binding proteins,0,0,1,0,0
irritable bowel syndrome,1,1,8,1,25
irritable mood,0,0,0,0,2
irritants,0,0,0,1,0
ischemia,0,0,1,0,3
"ischemic attack, transient",0,0,0,3,2
ischemic stroke,0,1,11,13,66
islam,0,0,0,0,1
islets of langerhans,0,0,1,0,0
isocitrate dehydrogenase,0,0,0,1,0
isoleucine,0,0,3,0,3
isoprostanes,0,0,0,2,0
isotonic solutions,0,0,0,1,0
isotope labeling,0,0,0,1,0
israel,1,0,0,3,0
italy,3,0,0,10,0
ivabradine,0,0,0,0,1
ixodes,0,1,1,0,0
jagged-1 protein,0,0,0,1,0
janus kinase 2,0,0,1,0,5
janus kinase inhibitors,0,0,0,0,1
japan,2,1,6,8,29
"jaundice, neonatal",0,0,0,0,1
jaw diseases,0,0,0,1,0
"jaw, edentulous",0,0,0,2,0
jehovah's witnesses,0,0,0,1,0
jews,1,0,0,0,3
jnk mitogen-activated protein kinases,0,0,0,2,0
job description,0,0,0,0,1
job satisfaction,4,0,0,0,3
joint diseases,0,0,0,0,1
joint instability,0,0,0,5,0
joints,1,0,0,1,0
journal impact factor,2,0,0,0,1
"journalism, dental",1,0,0,0,0
jumonji domain-containing histone demethylases,0,0,0,0,2
jurkat cells,0,0,0,2,0
k562 cells,0,0,0,2,0
kaempferols,0,0,0,1,0
kallikreins,0,0,0,1,1
kanamycin,0,0,0,1,0
kaplan-meier estimate,0,1,0,13,12
kaposi varicelliform eruption,1,0,0,0,0
karnofsky performance status,0,0,0,1,0
karyopherins,0,0,0,2,1
karyotype,0,0,0,0,2
kcnq potassium channels,0,0,0,0,1
keloid,2,0,0,0,1
kenya,0,0,0,4,1
keratan sulfate,0,0,0,1,0
keratin-8,0,0,0,0,1
keratinocytes,1,0,0,9,1
keratins,1,0,0,0,0
keratitis,0,0,0,0,1
keratoconus,1,0,0,4,1
ketone bodies,0,0,0,0,2
ketones,0,0,0,0,1
ki-1 antigen,0,0,0,0,2
ki-67 antigen,0,0,0,6,0
kidney,0,0,4,12,63
kidney calculi,2,0,15,2,23
kidney diseases,0,0,0,1,11
"kidney diseases, cystic",0,0,0,0,1
"kidney failure, chronic",3,0,0,3,16
kidney function tests,0,0,0,0,4
kidney glomerulus,0,0,0,0,1
kidney neoplasms,0,0,7,8,23
kidney transplantation,2,0,0,0,0
kidney tubules,0,0,0,1,1
"killer cells, natural",0,0,2,0,2
kinesins,0,0,2,1,2
kinetics,0,0,0,5,0
kinins,0,0,0,1,0
klebsiella infections,0,0,0,1,0
klebsiella pneumoniae,0,0,0,1,0
klinefelter syndrome,0,0,0,1,1
klotho proteins,0,0,0,0,4
knee,0,0,0,0,3
knee injuries,0,0,0,0,1
knee joint,0,0,0,1,2
knowledge,0,0,0,0,1
knowledge bases,0,0,0,1,5
knowledge management,1,0,0,0,0
kringles,0,0,0,0,1
kruppel-like factor 4,0,0,0,1,0
kruppel-like transcription factors,0,0,1,0,4
ku autoantigen,0,0,0,3,0
kupffer cells,0,0,0,0,1
kuwait,0,0,0,0,1
kv1.3 potassium channel,0,0,0,0,1
kynurenine,1,0,1,0,2
kynurenine 3-monooxygenase,1,0,0,0,0
"labor, induced",0,0,0,1,0
"labor, obstetric",0,0,0,0,1
laboratories,1,0,0,1,1
"laboratories, clinical",0,0,0,0,2
lactase,0,0,1,0,3
lactase-phlorizin hydrolase,0,0,1,0,1
lactates,0,0,0,0,1
lactic acid,0,0,2,0,1
lactobacillales,0,0,1,0,1
lactobacillus,0,0,1,0,0
lactose,0,0,0,1,0
lakes,0,0,0,0,1
lamin type a,1,0,0,0,1
laminin,0,0,0,1,1
landslides,0,0,0,1,0
language,5,1,0,0,9
lansoprazole,0,0,0,0,1
laparoscopy,2,0,0,0,0
laparotomy,1,0,0,0,0
larva,0,0,0,3,0
laryngeal diseases,0,0,1,0,1
laryngeal neoplasms,0,0,0,0,2
laryngitis,1,0,1,0,1
laser coagulation,0,0,0,3,0
laser therapy,0,0,0,4,0
lasers,0,0,0,2,0
"lasers, solid-state",0,0,0,1,0
latent autoimmune diabetes in adults,0,0,0,0,1
latent class analysis,0,0,0,0,12
latent infection,0,0,0,0,1
latent tgf-beta binding proteins,0,0,0,1,1
latent tuberculosis,0,0,0,0,1
law enforcement,1,0,0,1,0
lawyers,2,0,0,0,0
laxatives,0,0,0,0,5
ldl-receptor related proteins,0,0,0,0,2
lead,0,0,0,0,2
leadership,12,0,0,3,0
learning,4,0,0,3,3
learning curve,0,0,0,1,0
learning disabilities,1,0,0,0,0
least-squares analysis,0,0,0,2,4
leg,0,0,0,1,3
"legislation, dental",1,0,0,0,0
"legislation, drug",1,0,0,0,0
"legislation, food",1,0,0,1,0
"legislation, veterinary",1,0,0,0,0
leiomyoma,0,0,4,1,6
leiomyosarcoma,0,0,0,1,0
leisure activities,1,0,4,3,17
lenalidomide,0,0,0,1,0
length of stay,2,0,0,8,1
"lens, crystalline",0,0,0,0,1
lentivirus,0,0,0,1,0
leptin,1,0,0,1,5
lethargy,0,0,0,0,2
leucine,0,0,3,0,5
leucine-rich repeat serine-threonine protein kinase-2,0,0,0,0,2
leucovorin,0,0,0,1,0
leukemia,0,0,3,1,6
"leukemia, lymphocytic, chronic, b-cell",0,0,1,0,1
"leukemia, lymphoid",0,0,1,0,0
"leukemia, myelogenous, chronic, bcr-abl positive",0,0,0,2,0
"leukemia, myeloid",0,0,0,3,0
"leukemia, myeloid, acute",0,0,0,4,1
"leukemia, promyelocytic, acute",0,0,0,1,0
"leukemia, t-cell",0,0,0,0,1
leukoaraiosis,0,0,0,0,2
leukocyte count,2,1,5,1,21
leukocyte elastase,0,0,0,1,0
leukocyte rolling,0,0,0,1,1
leukocytes,0,0,5,0,52
"leukocytes, mononuclear",1,0,0,4,1
leukoencephalopathies,0,0,0,1,2
leukopenia,0,0,0,1,0
lewy bodies,0,0,0,0,1
lewy body disease,0,0,1,0,4
li-fraumeni syndrome,0,0,0,0,1
"liability, legal",1,0,0,0,0
libido,0,0,0,1,0
"libraries, medical",1,0,0,0,0
library associations,1,0,0,0,0
lice infestations,1,0,0,0,0
licensure,0,0,0,1,0
lichen planus,10,0,1,0,3
"lichen planus, oral",4,0,3,0,1
lichen sclerosus et atrophicus,3,0,0,0,0
life,1,0,0,0,0
life change events,1,0,0,0,10
life cycle stages,0,0,0,1,0
life expectancy,0,0,0,1,25
life history traits,0,0,0,1,1
life style,9,1,12,7,223
ligands,2,0,1,1,2
ligases,0,0,0,0,1
ligation,0,0,0,1,0
light,1,0,0,11,2
light coagulation,0,0,0,1,0
light pollution,0,0,0,0,1
lighting,1,0,0,0,0
likelihood functions,0,0,0,0,12
lim-homeodomain proteins,0,0,0,1,2
limbic system,0,0,0,0,6
linear models,1,0,1,12,73
linkage disequilibrium,0,1,9,1,110
linoleic acid,0,0,0,0,7
lip,0,0,0,1,0
lipase,0,0,0,2,11
lipedema,0,0,0,0,1
lipid bilayers,0,0,0,2,0
lipid droplets,0,0,0,0,1
lipid metabolism,0,0,4,3,14
lipid metabolism disorders,0,0,0,0,1
lipid peroxidation,0,0,0,4,0
lipidomics,0,0,3,0,4
lipids,1,1,18,8,78
lipocalin-2,1,0,0,0,0
lipodystrophy,0,0,0,0,3
"lipodystrophy, familial partial",0,0,0,0,1
lipogenesis,0,0,0,0,3
lipopolysaccharide receptors,0,0,2,0,1
lipopolysaccharides,0,0,1,3,0
lipoprotein lipase,1,0,2,0,5
lipoprotein(a),0,0,1,3,42
lipoproteins,0,1,2,0,28
"lipoproteins, hdl",0,0,1,1,18
"lipoproteins, ldl",0,1,0,1,12
"lipoproteins, vldl",0,0,0,0,4
listeria monocytogenes,0,0,0,3,0
listeriosis,0,0,0,1,0
literacy,1,0,0,0,0
literature,2,0,0,0,0
"literature, modern",1,0,0,0,0
lithium,0,0,0,0,1
lithium compounds,0,0,0,1,2
lithostathine,0,0,0,0,1
live birth,0,0,0,3,1
liver,0,0,5,17,68
liver cirrhosis,0,0,7,3,53
"liver cirrhosis, alcoholic",0,0,0,0,4
"liver cirrhosis, biliary",0,0,4,0,4
liver diseases,0,2,3,0,35
"liver diseases, alcoholic",0,0,2,0,6
liver failure,0,0,1,0,1
liver function tests,0,0,0,0,7
liver neoplasms,2,0,13,16,55
"liver neoplasms, experimental",0,0,0,1,0
liver transplantation,1,0,0,1,0
liver x receptors,0,0,0,0,1
liver-specific organic anion transporter 1,0,0,1,0,5
lizards,1,0,0,0,0
locomotion,0,0,0,2,1
locus control region,0,0,0,0,1
lod score,0,0,0,1,2
loeys-dietz syndrome,0,0,0,1,0
logistic models,7,1,2,13,84
london,1,0,0,0,4
loneliness,4,0,0,1,37
long qt syndrome,1,0,0,1,4
longevity,0,1,4,1,47
longitudinal studies,14,0,6,20,224
los angeles,1,0,0,0,1
losartan,0,0,0,1,1
loss of function mutation,0,1,2,0,18
loss of heterozygosity,0,0,1,0,4
lovastatin,0,0,1,0,1
low back pain,0,0,5,0,8
low density lipoprotein receptor-related protein-1,0,0,0,2,3
low tension glaucoma,0,0,1,0,0
lower extremity,0,0,2,3,3
lower urinary tract symptoms,0,0,0,0,2
luciferases,0,0,0,1,0
"luciferases, firefly",0,0,0,1,0
lumbar vertebrae,1,0,4,1,14
lumbosacral region,0,0,1,0,1
lumican,0,0,0,1,0
luminescent measurements,0,0,0,2,0
luminescent proteins,1,0,0,1,0
lung,1,0,8,22,74
lung diseases,1,0,0,3,7
"lung diseases, interstitial",1,0,1,0,1
"lung diseases, obstructive",0,0,0,1,1
lung injury,0,0,0,1,0
lung neoplasms,3,0,16,54,91
"lupus erythematosus, cutaneous",1,0,0,0,0
"lupus erythematosus, discoid",2,0,0,0,0
"lupus erythematosus, systemic",3,0,14,2,13
luteal phase,0,0,0,15,0
lutein,0,0,0,1,0
luteinizing hormone,0,0,0,2,1
lutetium,0,0,0,1,0
lyases,0,0,0,1,0
lycopene,0,0,1,0,1
lyme disease,0,1,1,0,0
lymph node excision,1,0,0,0,0
lymph nodes,1,0,0,1,0
lymphatic metastasis,0,0,0,3,0
lymphocyte activation,1,0,0,1,0
lymphocyte count,1,0,0,1,5
"lymphocyte culture test, mixed",0,0,0,1,0
lymphocyte subsets,0,0,0,0,1
lymphocytes,0,0,0,2,15
"lymphocytes, tumor-infiltrating",0,0,0,1,0
lymphoma,1,0,1,5,2
"lymphoma, large b-cell, diffuse",0,0,4,3,1
"lymphoma, non-hodgkin",1,0,4,2,5
lymphotoxin-alpha,0,0,1,0,2
lysine,0,0,0,0,1
lysophospholipase,0,0,0,1,1
lysosomes,0,0,0,3,0
macaca,0,0,0,1,0
macaca mulatta,0,0,0,4,2
machine learning,9,0,3,5,133
macromolecular substances,0,0,0,2,0
macrophage colony-stimulating factor,0,0,1,0,2
macrophages,0,0,0,5,2
"macrophages, alveolar",0,0,1,1,1
"macrophages, peritoneal",0,0,0,2,0
macula lutea,0,0,0,0,8
macular degeneration,0,1,13,2,39
mads domain proteins,0,0,0,1,0
magnesium,0,0,3,3,10
magnesium compounds,0,0,0,1,0
magnesium deficiency,0,0,0,1,1
magnetic phenomena,0,0,0,1,1
magnetic resonance angiography,0,0,0,1,1
magnetic resonance imaging,4,0,9,38,449
"magnetic resonance imaging, cine",0,0,3,26,32
magnetic resonance spectroscopy,0,2,1,6,26
magnetics,0,0,0,10,0
maillard reaction,0,0,0,0,1
"mainstreaming, education",1,0,0,0,0
maintenance,1,0,0,0,0
"maintenance and engineering, hospital",1,0,0,0,0
major histocompatibility complex,0,0,1,0,4
malaria,0,0,0,0,1
"malaria, vivax",1,0,0,0,0
malaysia,1,0,0,1,0
male,258,20,280,898,3742
maleimides,0,0,0,2,0
malformations of cortical development,0,0,0,1,0
malignant hyperthermia,1,0,0,0,0
malingering,1,0,0,3,0
malleus,0,0,0,4,0
malnutrition,1,0,0,0,12
malocclusion,1,0,0,0,0
malpractice,1,0,0,0,0
malus,0,0,0,0,1
mammals,1,0,0,3,1
mammary arteries,0,0,0,2,0
mammography,0,0,0,1,0
man-machine systems,1,0,0,0,0
managed care programs,2,0,0,0,0
mandatory reporting,0,0,0,1,0
mandible,0,0,0,1,0
manganese,0,0,0,0,6
mania,0,0,0,0,1
mannose,0,0,1,0,0
manometry,0,0,0,3,0
map kinase kinase kinases,0,0,1,1,1
map kinase signaling system,0,0,0,7,1
marfan syndrome,0,0,0,18,1
marijuana abuse,1,0,0,2,4
marijuana smoking,0,0,0,0,4
marijuana use,0,0,0,0,7
marital status,1,0,0,1,0
marketing,3,0,0,0,0
marketing of health services,3,0,0,0,0
markov chains,0,0,0,0,4
marriage,0,0,0,0,2
maryland,1,0,0,1,0
masks,2,0,0,0,0
mass media,2,0,0,0,0
mass screening,2,1,0,0,17
mass spectrometry,0,0,0,6,0
mass vaccination,0,0,0,1,0
massachusetts,0,0,0,2,0
mast cells,0,0,1,1,1
mastectomy,0,0,0,1,0
mastication,0,0,0,3,0
mastitis,0,0,1,0,1
matched-pair analysis,0,0,0,1,0
materials testing,1,0,0,3,0
maternal age,0,0,0,0,4
maternal behavior,0,0,0,0,1
maternal exposure,0,0,1,1,3
maternal health,0,0,0,0,1
maternal health services,0,0,0,1,0
maternal inheritance,0,0,0,0,3
maternal-child nursing,1,0,0,0,0
mathematics,3,0,0,0,1
matrix gla protein,0,0,0,0,1
matrix metalloproteinase 1,0,0,0,2,0
matrix metalloproteinase 12,0,0,3,0,1
matrix metalloproteinase 2,0,0,1,3,2
matrix metalloproteinase 20,0,0,0,0,1
matrix metalloproteinase 3,0,0,0,1,0
matrix metalloproteinase 9,0,0,0,2,1
matrix metalloproteinases,0,0,2,1,1
maximal expiratory flow rate,0,0,0,0,1
mcf-7 cells,0,0,0,4,0
meals,0,0,0,0,3
mean platelet volume,0,0,1,8,4
measles virus,0,0,0,2,0
meat,0,0,2,3,28
meat products,0,0,0,0,3
"mechanotransduction, cellular",0,0,0,1,1
mechlorethamine,0,0,0,1,0
meconium aspiration syndrome,0,0,0,1,0
median nerve,0,0,0,0,1
mediation analysis,1,0,11,0,29
mediator complex,0,0,0,0,1
medicaid,3,0,0,1,0
medical audit,1,0,0,0,0
medical errors,2,0,0,0,0
medical futility,1,0,0,0,0
medical history taking,6,0,1,0,12
medical informatics,3,0,0,1,1
medical informatics applications,1,0,0,0,0
medical oncology,1,0,0,0,0
medical record administrators,1,0,0,0,0
medical record linkage,1,0,0,0,2
medical records,1,0,0,2,4
"medical records systems, computerized",2,0,0,0,1
"medical staff, hospital",3,0,0,0,0
medicalization,1,0,0,0,0
medically underserved area,1,0,0,1,0
medically uninsured,1,0,0,1,0
medicare,1,0,0,5,0
medication adherence,3,1,0,0,1
medicine,2,0,0,0,0
medicine in literature,2,0,0,0,0
meditation,1,0,0,0,0
medroxyprogesterone acetate,0,0,0,2,0
megakaryocytes,0,0,0,0,1
melanocortins,0,0,0,0,1
melanoma,4,0,3,4,19
"melanoma, cutaneous malignant",0,0,2,0,7
melanosis,3,0,0,0,0
melatonin,0,0,0,1,2
melphalan,0,0,0,3,0
membrane glycoproteins,0,0,1,0,7
membrane microdomains,0,0,0,2,0
membrane potentials,0,0,0,1,0
membrane proteins,3,0,6,10,47
membrane transport proteins,0,0,3,4,15
"membranes, artificial",0,0,0,1,0
memory,0,0,0,2,11
memory and learning tests,0,0,0,0,1
memory disorders,1,0,0,1,2
"memory, episodic",0,0,0,0,4
"memory, short-term",0,0,0,0,5
men's health,1,0,0,0,0
menarche,0,1,3,0,33
mendelian randomization analysis,0,3,935,44,1598
meniere disease,1,0,1,0,4
meningeal neoplasms,0,0,0,1,0
meningioma,0,0,0,2,0
"meningitis, meningococcal",0,0,0,7,0
meningococcal vaccines,0,0,0,10,0
menopause,0,1,1,0,39
"menopause, premature",0,0,0,0,13
menstrual cycle,0,0,1,0,3
menstruation,0,0,1,0,3
menstruation disturbances,0,0,1,0,2
mental disorders,11,0,8,8,103
mental health,16,1,1,2,60
mental health services,2,0,0,0,0
mental processes,2,0,0,0,1
mental recall,0,0,1,1,2
mental status and dementia tests,0,0,0,0,4
mentoring,2,0,0,0,0
mentors,6,0,0,3,0
mercaptopurine,0,1,0,0,0
mercury,0,0,0,1,1
mercury compounds,0,0,0,1,0
mesalamine,0,0,0,0,1
mesenchymal stem cell transplantation,0,0,0,1,0
mesenchymal stem cells,0,0,0,3,1
mesentery,0,0,0,1,0
mesocricetus,0,0,0,1,0
mesoderm,0,0,0,1,0
mesothelioma,0,0,0,12,0
mesylates,0,0,0,1,0
meta-analysis as topic,0,0,9,2,38
metabolic clearance rate,1,0,0,0,0
metabolic diseases,1,1,3,1,27
metabolic networks and pathways,0,0,2,0,3
metabolic syndrome,0,1,1,3,59
metabolism,0,0,0,0,1
"metabolism, inborn errors",1,0,0,0,2
metabolome,0,1,7,1,35
metabolomics,0,4,4,1,53
metacognition,0,0,0,1,0
metadata,1,0,0,0,2
metagenome,0,1,0,1,0
metagenomics,0,0,0,2,2
metal nanoparticles,0,0,0,1,0
metallochaperones,0,0,0,1,0
metallothionein,0,0,0,1,0
metals,1,0,0,1,0
metaplasia,0,0,0,0,1
metformin,3,0,3,0,16
methamphetamine,0,0,0,1,0
methanocaldococcus,0,0,0,1,0
methanococcus,0,0,0,2,0
methimazole,0,0,0,1,0
methionine,0,0,0,0,1
methionine sulfoxide reductases,0,0,0,0,2
methods,1,0,0,0,0
methotrexate,0,0,0,7,2
methylamines,1,0,1,0,0
methylenetetrahydrofolate reductase (nadph2),0,0,0,0,1
methylmercury compounds,0,0,0,0,1
methylnitronitrosoguanidine,0,0,0,0,1
methylprednisolone,0,0,0,1,0
methyltransferases,0,1,1,0,0
metoprolol,0,0,0,2,1
mevalonic acid,0,0,0,8,0
mexican americans,1,0,0,0,0
mexico,1,0,0,2,2
mice,9,2,13,97,96
"mice, 129 strain",0,0,0,1,0
"mice, inbred balb c",0,0,0,13,0
"mice, inbred c3h",0,0,0,0,1
"mice, inbred c57bl",0,0,2,25,21
"mice, inbred icr",0,0,0,0,1
"mice, inbred mdx",0,0,0,1,0
"mice, inbred nod",0,0,1,0,0
"mice, inbred strains",0,0,0,0,1
"mice, knockout",1,0,0,16,19
"mice, knockout, apoe",0,0,0,1,0
"mice, mutant strains",1,0,0,0,1
"mice, nude",0,0,0,4,0
"mice, scid",0,0,1,1,0
"mice, transgenic",1,0,0,2,4
michigan,1,0,1,0,6
microaneurysm,0,0,0,0,1
microarray analysis,0,0,1,0,1
microbiological techniques,1,0,0,0,0
microbiology,1,0,0,0,0
microbiota,1,0,6,0,4
microbubbles,0,0,0,1,0
microcephaly,1,0,0,1,0
microcirculation,0,0,0,9,1
microdialysis,0,0,0,2,0
microfilament proteins,0,0,0,7,9
microglia,0,0,0,1,6
micronutrients,0,0,4,0,7
microphthalmia-associated transcription factor,0,0,0,0,2
microplastics,1,0,0,0,0
micrornas,0,0,1,10,6
microsatellite instability,0,0,0,1,0
microsatellite repeats,0,0,0,0,2
microscopic polyangiitis,0,0,1,0,0
microscopy,0,0,0,2,0
"microscopy, acoustic",0,0,0,1,0
"microscopy, atomic force",0,0,0,1,0
"microscopy, confocal",0,0,0,4,0
"microscopy, electron",1,0,0,1,0
"microscopy, electron, transmission",0,0,0,5,0
"microscopy, fluorescence",1,0,0,5,0
"microscopy, immunoelectron",0,0,0,1,0
microsomes,0,0,0,1,0
microsurgery,1,0,0,0,0
microtubule-associated proteins,0,0,0,0,5
microtubules,1,0,0,4,1
microvascular density,0,0,0,1,0
microvessels,0,0,1,10,6
microwaves,0,0,0,1,0
middle aged,192,16,131,636,3122
middle east,1,0,0,1,0
middle east respiratory syndrome coronavirus,1,0,0,0,0
midwifery,0,0,0,1,0
migraine disorders,1,0,11,4,26
migraine with aura,0,0,2,1,3
migraine without aura,0,0,1,0,2
military deployment,0,0,0,1,0
military medicine,3,0,0,0,0
military personnel,2,0,0,12,2
milk,0,0,7,1,18
milk proteins,0,1,1,0,1
"milk, human",1,0,0,0,0
"mind-body relations, metaphysical",1,0,0,0,0
mindfulness,0,0,0,3,0
mineralocorticoid receptor antagonists,0,0,0,2,1
minerals,0,0,2,0,5
miners,1,0,0,0,0
miniature postsynaptic potentials,0,0,0,1,0
miniaturization,0,0,0,2,0
minimally invasive surgical procedures,1,0,0,13,0
mining,1,0,0,0,0
minisatellite repeats,0,0,0,0,5
minnesota,0,0,0,4,0
minor histocompatibility antigens,0,0,0,0,2
minority groups,18,0,0,0,12
minority health,1,0,0,0,1
minute virus of mice,0,0,0,5,0
mismatch repair endonuclease pms2,0,0,0,1,0
missouri,2,0,0,0,0
mitochondria,0,0,6,1,21
"mitochondria, liver",0,0,0,1,1
"mitochondria, muscle",0,0,0,1,0
mitochondrial diseases,0,0,1,0,2
mitochondrial membrane transport proteins,0,0,0,0,2
mitochondrial precursor protein import complex proteins,0,0,0,0,1
mitochondrial proteins,0,0,1,2,1
mitogen-activated protein kinase 1,0,0,0,2,0
mitogen-activated protein kinase 3,0,0,0,4,0
mitogen-activated protein kinases,0,0,0,2,1
mitomycin,0,0,0,19,0
mitomycins,0,0,0,14,0
mitotic index,0,0,0,1,0
mitoxantrone,0,0,0,3,0
mitral valve,0,0,0,234,3
mitral valve annuloplasty,0,0,0,23,0
mitral valve insufficiency,1,0,0,215,2
mitral valve prolapse,0,0,0,454,3
mitral valve stenosis,1,0,0,7,0
mixed function oxygenases,0,0,0,0,1
mmpi,0,0,0,1,0
mobile applications,0,0,0,2,1
mobile health units,0,0,0,1,0
mobility limitation,0,0,0,1,0
"models, anatomic",0,0,0,0,1
"models, animal",0,0,0,5,3
"models, biological",4,0,0,13,10
"models, cardiovascular",0,0,0,4,4
"models, chemical",0,0,0,1,0
"models, econometric",0,0,0,2,2
"models, economic",0,0,0,0,3
"models, educational",1,0,0,1,0
"models, genetic",3,2,0,2,171
"models, molecular",1,0,0,16,1
"models, neurological",0,0,0,1,4
"models, organizational",1,0,0,0,1
"models, psychological",2,0,0,1,1
"models, statistical",6,0,0,5,43
"models, theoretical",3,0,0,5,12
molar,1,0,0,0,0
molecular biology,1,0,0,0,2
molecular chaperones,0,0,0,0,2
molecular docking simulation,0,0,5,4,5
molecular dynamics simulation,0,0,0,2,0
molecular epidemiology,0,1,0,0,6
molecular sequence annotation,0,0,0,3,18
molecular sequence data,0,0,0,31,0
molecular structure,0,0,0,1,0
molecular targeted therapy,1,0,8,2,9
molecular weight,0,0,0,3,0
molluscum contagiosum,1,0,0,0,0
"monitoring, ambulatory",0,0,0,2,0
"monitoring, intraoperative",0,0,0,3,0
"monitoring, physiologic",1,0,0,7,1
monocarboxylic acid transporters,0,0,1,0,2
monocytes,0,0,2,1,11
monophenol monooxygenase,0,0,0,0,2
monosaccharides,0,0,0,1,0
monte carlo method,0,0,0,1,1
mood disorders,2,0,1,0,20
moral obligations,2,0,0,0,0
morals,3,0,0,0,0
morbidity,0,0,1,2,20
morphine,0,0,0,1,1
morphogenesis,0,0,0,1,2
morpholines,0,0,0,4,0
morpholinos,0,0,0,1,0
mortality,0,0,0,5,69
"mortality, premature",0,0,0,0,10
mosaicism,1,0,0,0,20
mother-child relations,1,0,1,0,0
mothers,1,0,0,1,8
moths,0,0,0,5,0
motion,0,0,0,1,7
motion pictures,1,0,0,0,0
motivation,5,0,0,5,2
motor activity,1,0,0,1,6
motor cortex,0,0,0,0,2
motor neuron disease,0,0,0,0,1
motor neurons,0,0,0,1,0
motor skills,0,0,0,1,0
motor vehicles,0,0,0,3,1
mountaineering,1,0,0,0,0
mouth diseases,0,0,0,1,3
mouth neoplasms,0,0,3,2,2
movement,1,0,0,4,4
movement disorders,1,0,0,1,1
moyamoya disease,0,0,0,1,0
"mpox, monkeypox",0,0,0,0,1
mrna vaccines,1,0,0,1,0
mucin 5ac,0,0,0,0,2
mucin-1,0,1,1,0,2
mucin-5b,0,0,2,1,0
mucin-6,0,0,0,0,1
mucins,0,0,0,0,2
mucosa-associated lymphoid tissue lymphoma translocation 1 protein,0,0,0,0,1
mucus,0,0,0,1,3
multicenter studies as topic,0,0,1,1,5
multidetector computed tomography,0,0,0,3,0
multidrug resistance-associated protein 2,0,0,0,5,0
multidrug resistance-associated proteins,0,0,0,25,0
multienzyme complexes,0,0,0,1,2
multifactor dimensionality reduction,0,0,0,0,2
multifactorial inheritance,14,8,12,14,493
multifunctional nanoparticles,0,0,0,1,0
multigene family,0,0,0,1,5
